scene,layer,x,y,scale
scene_home_full_shot,chr_illust,18,10,50
scene_home_full_shot,chr_illust_p,-28,34,50
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,40,44,96
scene_home_medium_shot,chr_illust_p,-48,96,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-42,2,100
scene_purge3,chr_illust_p,-66,10,96
scene_purge2,chr_illust_p,-58,8,96
scene_purge1,chr_illust_p,-56,16,96
scene_adv,chr_illust,46,-180,94
scene_adv,chr_illust_p,-38,-128,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,36,42,78
scene_syousai,chr_illust,36,42,78
scene_skill,chr_illust,42,60,96
scene_skill,chr_illust_p,-44,108,96
scene_chr_episode,chr_illust,42,44,82
scene_gata_syousai,chr_illust,22,24,50
scene_gata_syousai,chr_illust_p,-20,52,50
scene_battle_result_1,chr_illust,40,56,98
scene_battle_result_2,chr_illust,42,38,80
scene_battle_result_3,chr_illust,38,44,78
scene_battle_result_4,chr_illust,42,40,78
scene_load,chr_illust,20,30,48
scene_kakusei,chr_illust,36,42,78
scene_login,chr_illust,32,46,78
scene_pvp_player,chr_illust,40,58,96
scene_pvp_rival,chr_illust,26,62,96
scene_pvp_result,chr_illust,46,56,96
scene_pvp_result,chr_illust_p,-44,110,96
