scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,12,50
scene_home_full_shot,chr_illust_p,14,12,50
scene_home_bust_shot,chr_illust,-14,78,120
scene_home_bust_shot,chr_illust_p,-14,78,120
scene_home_medium_shot,chr_illust,-12,42,90
scene_home_medium_shot,chr_illust_p,-12,42,90
scene_battle,chr_illust,-10,54,50
scene_battle,chr_illust_p,-10,56,50
scene_purge4,chr_illust_p,-16,-22,90
scene_purge3,chr_illust_p,-20,-58,90
scene_purge2,chr_illust_p,-16,-58,90
scene_purge1,chr_illust_p,10,-26,90
scene_adv,chr_illust,-6,-226,100
scene_adv,chr_illust_p,-6,-226,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,0,20,80
scene_syousai,chr_illust,0,20,80
scene_skill,chr_illust,-6,28,100
scene_skill,chr_illust_p,-8,28,100
scene_chr_episode,chr_illust,2,38,80
scene_gata_syousai,chr_illust,10,20,50
scene_gata_syousai,chr_illust_p,10,20,50
scene_battle_result_1,chr_illust,-2,28,100
scene_battle_result_2,chr_illust,0,24,80
scene_battle_result_3,chr_illust,-2,24,80
scene_battle_result_4,chr_illust,-2,20,80
scene_load,chr_illust,0,14,50
scene_kakusei,chr_illust,0,20,80
scene_login,chr_illust,-2,24,80
scene_pvp_player,chr_illust,2,22,100
scene_pvp_rival,chr_illust,-3,24,100
scene_pvp_result,chr_illust,2,24,100
scene_pvp_result,chr_illust_p,0,24,100
