scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,10,48
scene_home_full_shot,chr_illust_p,6,-16,48
scene_home_bust_shot,chr_illust,-10,32,120
scene_home_bust_shot,chr_illust_p,36,62,120
scene_home_medium_shot,chr_illust,-8,26,92
scene_home_medium_shot,chr_illust_p,26,48,86
scene_battle,chr_illust,-6,-8,60
scene_battle,chr_illust_p,18,50,50
scene_purge4,chr_illust_p,2,16,70
scene_purge3,chr_illust_p,-16,-8,76
scene_purge2,chr_illust_p,-6,-18,80
scene_purge1,chr_illust_p,0,4,80
scene_adv,chr_illust,-12,-208,94
scene_adv,chr_illust_p,24,-184,90
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,0,20,78
scene_syousai,chr_illust,0,20,78
scene_skill,chr_illust,2,14,98
scene_skill,chr_illust_p,44,38,94
scene_chr_episode,chr_illust,0,18,82
scene_gata_syousai,chr_illust,-4,12,48
scene_gata_syousai,chr_illust_p,-4,0,44
scene_battle_result_1,chr_illust,-12,20,98
scene_battle_result_2,chr_illust,0,32,74
scene_battle_result_3,chr_illust,-8,32,74
scene_battle_result_4,chr_illust,-6,30,74
scene_load,chr_illust,2,14,48
scene_kakusei,chr_illust,0,20,78
scene_login,chr_illust,-8,22,78
scene_pvp_player,chr_illust,-14,20,96
scene_pvp_rival,chr_illust,-4,20,96
scene_pvp_result,chr_illust,-6,28,96
scene_pvp_result,chr_illust_p,36,56,90
