scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,-10,52
scene_home_full_shot,chr_illust_p,60,4,50
scene_home_bust_shot,chr_illust,-36,128,100
scene_home_bust_shot,chr_illust_p,86,160,96
scene_home_medium_shot,chr_illust,-10,-10,96
scene_home_medium_shot,chr_illust_p,110,24,92
scene_battle,chr_illust,-4,-10,62
scene_battle,chr_illust_p,72,16,58
scene_purge4,chr_illust_p,114,-68,94
scene_purge3,chr_illust_p,98,-98,100
scene_purge2,chr_illust_p,98,-100,100
scene_purge1,chr_illust_p,116,-82,100
scene_adv,chr_illust,-8,-252,100
scene_adv,chr_illust_p,128,-230,100
scene_kakudai,chr_illust,-2,-6,62
scene_kakudai,chr_illust_p,64,0,58
scene_gift,chr_illust,6,-18,84
scene_syousai,chr_illust,6,-18,84
scene_skill,chr_illust,0,-4,100
scene_skill,chr_illust_p,134,14,100
scene_chr_episode,chr_illust,6,-18,86
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,64,14,48
scene_battle_result_1,chr_illust,2,-2,100
scene_battle_result_2,chr_illust,-2,-18,84
scene_battle_result_3,chr_illust,-8,-18,84
scene_battle_result_4,chr_illust,-4,-20,84
scene_load,chr_illust,-2,-8,52
scene_kakusei,chr_illust,6,-18,84
scene_login,chr_illust,0,-16,84
scene_pvp_player,chr_illust,-10,-2,100
scene_pvp_rival,chr_illust,-4,-4,100
scene_pvp_result,chr_illust,-2,-4,100
scene_pvp_result,chr_illust_p,130,14,100
