scene,layer,x,y,scale
scene_home_full_shot,chr_illust,60,16,52
scene_home_full_shot,chr_illust_p,-54,30,50
scene_home_bust_shot,chr_illust,172,58,134
scene_home_bust_shot,chr_illust_p,-192,96,126
scene_home_medium_shot,chr_illust,146,14,100
scene_home_medium_shot,chr_illust_p,-130,38,100
scene_battle,chr_illust,78,46,60
scene_battle,chr_illust_p,-90,38,60
scene_purge4,chr_illust_p,-118,-2,94
scene_purge3,chr_illust_p,-142,-44,100
scene_purge2,chr_illust_p,-130,-22,94
scene_purge1,chr_illust_p,-116,-30,100
scene_adv,chr_illust,126,-184,100
scene_adv,chr_illust_p,-150,-186,100
scene_kakudai,chr_illust,78,6,60
scene_kakudai,chr_illust_p,-32,2,60
scene_gift,chr_illust,108,32,82
scene_syousai,chr_illust,108,32,82
scene_skill,chr_illust,132,56,100
scene_skill,chr_illust_p,-130,72,100
scene_chr_episode,chr_illust,116,38,84
scene_gata_syousai,chr_illust,70,8,52
scene_gata_syousai,chr_illust_p,-22,22,50
scene_battle_result_1,chr_illust,154,52,100
scene_battle_result_2,chr_illust,116,34,84
scene_battle_result_3,chr_illust,120,32,84
scene_battle_result_4,chr_illust,126,32,84
scene_load,chr_illust,54,26,50
scene_kakusei,chr_illust,108,32,82
scene_login,chr_illust,106,28,84
scene_pvp_player,chr_illust,118,64,100
scene_pvp_rival,chr_illust,128,64,100
scene_pvp_result,chr_illust,130,48,100
scene_pvp_result,chr_illust_p,-132,62,100
