scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,52
scene_home_full_shot,chr_illust_p,0,0,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,2,24,100
scene_home_medium_shot,chr_illust_p,2,24,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,16,-60,100
scene_purge3,chr_illust_p,-26,-62,100
scene_purge2,chr_illust_p,-20,-64,100
scene_purge1,chr_illust_p,-10,-58,100
scene_adv,chr_illust,2,-184,100
scene_adv,chr_illust_p,2,-184,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,8,-8,92
scene_syousai,chr_illust,8,-8,92
scene_skill,chr_illust,0,40,100
scene_skill,chr_illust_p,0,40,100
scene_chr_episode,chr_illust,10,0,94
scene_gata_syousai,chr_illust_p,2,14,50
scene_gata_syousai,chr_illust,2,14,50
scene_battle_result_1,chr_illust,0,40,100
scene_battle_result_2,chr_illust,10,-18,96
scene_battle_result_3,chr_illust,0,-18,96
scene_battle_result_4,chr_illust,4,-22,96
scene_load,chr_illust,2,-4,58
scene_kakusei,chr_illust,8,-8,92
scene_login,chr_illust,6,-20,96
scene_pvp_player,chr_illust,-8,34,100
scene_pvp_rival,chr_illust,4,36,100
scene_pvp_result,chr_illust,0,34,100
scene_pvp_result,chr_illust_p,0,34,100
