scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,40,50
scene_home_full_shot,chr_illust_p,14,40,50
scene_home_bust_shot,chr_illust,36,170,120
scene_home_bust_shot,chr_illust_p,36,168,120
scene_home_medium_shot,chr_illust,28,100,90
scene_home_medium_shot,chr_illust_p,28,100,90
scene_battle,chr_illust,10,66,50
scene_battle,chr_illust_p,10,68,50
scene_purge4,chr_illust_p,12,46,90
scene_purge3,chr_illust_p,12,12,90
scene_purge2,chr_illust_p,14,14,90
scene_purge1,chr_illust_p,26,28,90
scene_adv,chr_illust,22,-102,100
scene_adv,chr_illust_p,22,-102,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,22,114,80
scene_syousai,chr_illust,22,114,80
scene_skill,chr_illust,18,120,100
scene_skill,chr_illust_p,18,120,100
scene_chr_episode,chr_illust,28,126,80
scene_gata_syousai,chr_illust,40,40,50
scene_gata_syousai,chr_illust_p,40,40,50
scene_battle_result_1,chr_illust,22,148,100
scene_battle_result_2,chr_illust,16,118,78
scene_battle_result_3,chr_illust,16,120,78
scene_battle_result_4,chr_illust,26,118,78
scene_load,chr_illust,12,32,50
scene_kakusei,chr_illust,22,114,80
scene_login,chr_illust,16,120,80
scene_pvp_player,chr_illust,20,156,94
scene_pvp_rival,chr_illust,16,158,94
scene_pvp_result,chr_illust,20,144,100
scene_pvp_result,chr_illust_p,18,142,100
