scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,-34,56
scene_home_full_shot,chr_illust_p,8,42,54
scene_home_bust_shot,chr_illust,-10,22,130
scene_home_bust_shot,chr_illust_p,18,156,124
scene_home_medium_shot,chr_illust,-12,20,100
scene_home_medium_shot,chr_illust_p,10,118,100
scene_battle,chr_illust,-10,-34,66
scene_battle,chr_illust_p,6,74,66
scene_purge4,chr_illust_p,6,60,100
scene_purge3,chr_illust_p,0,28,100
scene_purge2,chr_illust_p,8,34,100
scene_purge1,chr_illust_p,0,50,100
scene_adv,chr_illust,-20,-198,100
scene_adv,chr_illust_p,4,-102,96
scene_kakudai,chr_illust,-4,-46,72
scene_kakudai,chr_illust_p,12,48,72
scene_gift,chr_illust,-8,10,90
scene_syousai,chr_illust,-8,10,90
scene_skill,chr_illust,-22,56,100
scene_skill,chr_illust_p,24,148,100
scene_chr_episode,chr_illust,-4,18,92
scene_gata_syousai,chr_illust,10,-24,60
scene_gata_syousai,chr_illust_p,30,40,54
scene_battle_result_1,chr_illust,-9,50,100
scene_battle_result_2,chr_illust,-16,2,94
scene_battle_result_3,chr_illust,-8,4,94
scene_battle_result_4,chr_illust,-12,-4,96
scene_load,chr_illust,-12,4,58
scene_kakusei,chr_illust,-8,10,90
scene_login,chr_illust,-14,16,90
scene_pvp_player,chr_illust,-20,50,100
scene_pvp_rival,chr_illust,-20,56,100
scene_pvp_result,chr_illust,-14,56,100
scene_pvp_result,chr_illust_p,20,164,94
