scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,6,50
scene_home_full_shot,chr_illust_p,-4,6,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-18,60,86
scene_home_medium_shot,chr_illust_p,-18,60,86
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,4,2,84
scene_purge3,chr_illust_p,-26,-12,84
scene_purge2,chr_illust_p,-22,-16,84
scene_purge1,chr_illust_p,0,-22,90
scene_adv,chr_illust,-8,-156,84
scene_adv,chr_illust_p,-8,-156,84
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,2,56,70
scene_syousai,chr_illust,2,56,70
scene_skill,chr_illust,-2,90,86
scene_skill,chr_illust_p,-2,90,86
scene_chr_episode,chr_illust,0,44,72
scene_gata_syousai,chr_illust,-4,-2,46
scene_gata_syousai,chr_illust_p,-4,-2,46
scene_battle_result_1,chr_illust,-12,76,90
scene_battle_result_2,chr_illust,6,82,66
scene_battle_result_3,chr_illust,2,84,66
scene_battle_result_4,chr_illust,10,84,66
scene_load,chr_illust,-6,16,44
scene_kakusei,chr_illust,2,56,70
scene_login,chr_illust,-12,10,70
scene_pvp_player,chr_illust,-24,90,84
scene_pvp_rival,chr_illust,-14,96,84
scene_pvp_result,chr_illust,-10,70,88
scene_pvp_result,chr_illust_p,-10,70,88
