scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,54
scene_home_full_shot,chr_illust_p,-6,0,44
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-16,43,94
scene_home_medium_shot,chr_illust_p,-12,160,70
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,2,100,66
scene_purge3,chr_illust_p,-28,106,66
scene_purge2,chr_illust_p,-12,106,66
scene_purge1,chr_illust_p,0,108,80
scene_adv,chr_illust,-8,-172,94
scene_adv,chr_illust_p,-10,-28,62
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,50
scene_gift,chr_illust,-4,38,80
scene_syousai,chr_illust,-4,38,80
scene_skill,chr_illust,-12,62,96
scene_skill,chr_illust_p,-2,206,66
scene_chr_episode,chr_illust,-4,54,80
scene_gata_syousai,chr_illust,0,0,52
scene_gata_syousai,chr_illust_p,12,0,42
scene_battle_result_1,chr_illust,-10,56,98
scene_battle_result_2,chr_illust,0,44,78
scene_battle_result_3,chr_illust,0,46,78
scene_battle_result_4,chr_illust,2,44,78
scene_load,chr_illust,-2,26,50
scene_kakusei,chr_illust,-4,38,80
scene_login,chr_illust,-8,44,80
scene_pvp_player,chr_illust,0,60,96
scene_pvp_rival,chr_illust,0,60,96
scene_pvp_result,chr_illust,-6,62,96
scene_pvp_result,chr_illust_p,0,212,66
