scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,20,50
scene_home_full_shot,chr_illust_p,14,20,50
scene_home_bust_shot,chr_illust,44,98,120
scene_home_bust_shot,chr_illust_p,44,98,120
scene_home_medium_shot,chr_illust,48,60,90
scene_home_medium_shot,chr_illust_p,48,60,90
scene_battle,chr_illust,10,66,50
scene_battle,chr_illust_p,10,68,50
scene_purge4,chr_illust_p,52,24,90
scene_purge3,chr_illust_p,36,-8,90
scene_purge2,chr_illust_p,40,-8,90
scene_purge1,chr_illust_p,56,-4,90
scene_adv,chr_illust,42,-202,100
scene_adv,chr_illust_p,42,-202,100
scene_kakudai,chr_illust,30,0,60
scene_kakudai,chr_illust_p,30,0,60
scene_gift,chr_illust,36,36,80
scene_syousai,chr_illust,36,36,80
scene_skill,chr_illust,54,42,100
scene_skill,chr_illust_p,54,42,100
scene_chr_episode,chr_illust,42,54,80
scene_gata_syousai,chr_illust,30,20,50
scene_gata_syousai,chr_illust_p,30,20,50
scene_battle_result_1,chr_illust,46,42,100
scene_battle_result_2,chr_illust,36,16,88
scene_battle_result_3,chr_illust,36,14,88
scene_battle_result_4,chr_illust,32,16,88
scene_load,chr_illust,24,24,50
scene_kakusei,chr_illust,36,36,80
scene_login,chr_illust,42,40,80
scene_pvp_player,chr_illust,46,40,100
scene_pvp_rival,chr_illust,52,48,100
scene_pvp_result,chr_illust,54,46,100
scene_pvp_result,chr_illust_p,52,46,100
