scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,28,50
scene_home_full_shot,chr_illust_p,0,28,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,0,72,90
scene_home_medium_shot,chr_illust_p,0,72,90
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,38,12,90
scene_purge3,chr_illust_p,2,0,90
scene_purge2,chr_illust_p,10,-8,90
scene_purge1,chr_illust_p,0,-6,90
scene_adv,chr_illust,22,-186,100
scene_adv,chr_illust_p,22,-186,100
scene_kakudai,chr_illust,0,24,60
scene_kakudai,chr_illust_p,0,24,60
scene_gift,chr_illust,4,46,80
scene_syousai,chr_illust,4,46,80
scene_skill,chr_illust,2,56,100
scene_skill,chr_illust_p,2,56,100
scene_chr_episode,chr_illust,0,58,80
scene_gata_syousai,chr_illust,2,28,50
scene_gata_syousai,chr_illust_p,2,28,50
scene_battle_result_1,chr_illust,0,62,100
scene_battle_result_2,chr_illust,0,44,82
scene_battle_result_3,chr_illust,0,48,80
scene_battle_result_4,chr_illust,0,48,80
scene_load,chr_illust,0,28,50
scene_kakusei,chr_illust,4,46,80
scene_login,chr_illust,2,46,80
scene_pvp_player,chr_illust,2,58,100
scene_pvp_rival,chr_illust,6,58,100
scene_pvp_result,chr_illust,2,58,100
scene_pvp_result,chr_illust_p,2,58,100
