scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,6,48
scene_home_full_shot,chr_illust_p,-4,4,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-10,44,84
scene_home_medium_shot,chr_illust_p,-14,38,84
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-18,-56,88
scene_purge3,chr_illust_p,-44,-54,88
scene_purge2,chr_illust_p,-34,-52,88
scene_purge1,chr_illust_p,-10,-50,90
scene_adv,chr_illust,2,-190,88
scene_adv,chr_illust_p,4,-194,88
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-6,42,70
scene_syousai,chr_illust,-6,42,70
scene_skill,chr_illust,-12,50,88
scene_skill,chr_illust_p,-4,48,88
scene_chr_episode,chr_illust,-6,42,74
scene_gata_syousai,chr_illust,-2,4,44
scene_gata_syousai,chr_illust_p,-2,-2,46
scene_battle_result_1,chr_illust,-18,36,92
scene_battle_result_2,chr_illust,-8,38,72
scene_battle_result_3,chr_illust,-4,42,70
scene_battle_result_4,chr_illust,-4,44,70
scene_load,chr_illust,-4,26,44
scene_kakusei,chr_illust,-6,42,70
scene_login,chr_illust,-10,36,72
scene_pvp_player,chr_illust,-12,48,90
scene_pvp_rival,chr_illust,-10,46,80
scene_pvp_result,chr_illust,-10,54,88
scene_pvp_result,chr_illust_p,4,50,88
