scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,-6,0,50
scene_home_bust_shot,chr_illust,12,102,120
scene_home_bust_shot,chr_illust_p,6,102,120
scene_home_medium_shot,chr_illust,4,56,94
scene_home_medium_shot,chr_illust_p,18,70,90
scene_battle,chr_illust,-18,48,50
scene_battle,chr_illust_p,-6,46,50
scene_purge4,chr_illust_p,38,14,80
scene_purge3,chr_illust_p,4,14,80
scene_purge2,chr_illust_p,0,-2,80
scene_purge1,chr_illust_p,30,8,80
scene_adv,chr_illust,42,-138,84
scene_adv,chr_illust_p,-2,-116,74
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,54
scene_gift,chr_illust,56,98,80
scene_syousai,chr_illust,56,98,80
scene_skill,chr_illust,34,130,90
scene_skill,chr_illust_p,6,118,80
scene_chr_episode,chr_illust,60,104,84
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,-10,0,44
scene_battle_result_1,chr_illust,42,138,90
scene_battle_result_2,chr_illust,36,120,68
scene_battle_result_3,chr_illust,38,122,68
scene_battle_result_4,chr_illust,44,120,68
scene_load,chr_illust,28,60,50
scene_kakusei,chr_illust,56,98,80
scene_login,chr_illust,40,124,70
scene_pvp_player,chr_illust,44,138,88
scene_pvp_rival,chr_illust,40,130,88
scene_pvp_result,chr_illust,50,146,88
scene_pvp_result,chr_illust_p,0,140,80
