scene,layer,x,y,scale
scene_home_full_shot,chr_illust,24,-6,50
scene_home_full_shot,chr_illust_p,8,0,50
scene_home_bust_shot,chr_illust,0,38,120
scene_home_bust_shot,chr_illust_p,2,98,120
scene_home_medium_shot,chr_illust,-6,8,96
scene_home_medium_shot,chr_illust_p,0,62,94
scene_battle,chr_illust,4,-6,60
scene_battle,chr_illust_p,-14,50,50
scene_purge4,chr_illust_p,44,42,76
scene_purge3,chr_illust_p,18,-4,84
scene_purge2,chr_illust_p,14,-18,88
scene_purge1,chr_illust_p,12,22,80
scene_adv,chr_illust,-4,-232,100
scene_adv,chr_illust_p,-2,-172,98
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,10,8,80
scene_syousai,chr_illust,10,8,80
scene_skill,chr_illust,-6,12,100
scene_skill,chr_illust_p,0,60,96
scene_chr_episode,chr_illust,0,12,84
scene_gata_syousai,chr_illust,4,0,48
scene_gata_syousai,chr_illust_p,8,12,48
scene_battle_result_1,chr_illust,-6,12,100
scene_battle_result_2,chr_illust,2,12,80
scene_battle_result_3,chr_illust,2,10,80
scene_battle_result_4,chr_illust,5,12,80
scene_load,chr_illust,-4,10,50
scene_kakusei,chr_illust,10,8,80
scene_login,chr_illust,4,12,80
scene_pvp_player,chr_illust,-16,12,100
scene_pvp_rival,chr_illust,-4,14,100
scene_pvp_result,chr_illust,0,14,100
scene_pvp_result,chr_illust_p,-10,62,98
