scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,0,50
scene_home_full_shot,chr_illust_p,14,0,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-12,40,90
scene_home_medium_shot,chr_illust_p,-12,40,90
scene_battle,chr_illust,0,26,50
scene_battle,chr_illust_p,0,28,50
scene_purge4,chr_illust_p,32,-42,90
scene_purge3,chr_illust_p,10,-80,90
scene_purge2,chr_illust_p,0,-82,90
scene_purge1,chr_illust_p,4,-44,90
scene_adv,chr_illust,0,-266,100
scene_adv,chr_illust_p,0,-266,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,8,-18,80
scene_syousai,chr_illust,8,-18,80
scene_skill,chr_illust,6,-24,100
scene_skill,chr_illust_p,6,-22,100
scene_chr_episode,chr_illust,10,-2,80
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,0,0,50
scene_battle_result_1,chr_illust,12,-10,100
scene_battle_result_2,chr_illust,4,-16,80
scene_battle_result_3,chr_illust,-4,-16,80
scene_battle_result_3,chr_illust,-4,-16,80
scene_battle_result_4,chr_illust,2,-20,80
scene_load,chr_illust,2,-10,50
scene_kakusei,chr_illust,8,-18,80
scene_login,chr_illust,2,-16,80
scene_pvp_player,chr_illust,2,-28,100
scene_pvp_rival,chr_illust,0,-26,100
scene_pvp_result,chr_illust,10,-26,100
scene_pvp_result,chr_illust_p,12,-26,100
