scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,18,50
scene_home_full_shot,chr_illust_p,6,4,48
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,-26,126,96
scene_home_medium_shot,chr_illust_p,-44,100,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,6,36,88
scene_purge3,chr_illust_p,-22,26,88
scene_purge2,chr_illust_p,0,30,88
scene_purge1,chr_illust_p,18,44,80
scene_adv,chr_illust,6,-116,100
scene_adv,chr_illust_p,-2,-122,96
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,4,92,84
scene_syousai,chr_illust,4,92,84
scene_skill,chr_illust,2,138,100
scene_skill,chr_illust_p,-24,120,96
scene_chr_episode,chr_illust,2,96,90
scene_gata_syousai,chr_illust,32,28,50
scene_gata_syousai,chr_illust_p,38,20,48
scene_battle_result_1,chr_illust,-20,136,100
scene_battle_result_2,chr_illust,-14,102,84
scene_battle_result_3,chr_illust,8,100,84
scene_battle_result_4,chr_illust,16,102,84
scene_load,chr_illust,0,40,50
scene_kakusei,chr_illust,4,92,84
scene_login,chr_illust,-2,104,84
scene_pvp_player,chr_illust,-10,142,100
scene_pvp_rival,chr_illust,10,140,100
scene_pvp_result,chr_illust,-4,130,100
scene_pvp_result,chr_illust_p,-26,124,94
