scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,6,50
scene_home_full_shot,chr_illust_p,-4,6,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-18,-8,100
scene_home_medium_shot,chr_illust_p,-18,-8,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,8,-36,90
scene_purge3,chr_illust_p,-32,-66,90
scene_purge2,chr_illust_p,-26,-56,90
scene_purge1,chr_illust_p,-2,-44,90
scene_adv,chr_illust,4,-210,94
scene_adv,chr_illust_p,4,-210,94
scene_kakudai,chr_illust,0,-2,60
scene_kakudai,chr_illust_p,0,-2,60
scene_gift,chr_illust,4,8,80
scene_syousai,chr_illust,4,8,80
scene_skill,chr_illust,-4,16,100
scene_skill,chr_illust_p,-4,16,100
scene_chr_episode,chr_illust,0,30,80
scene_gata_syousai,chr_illust,2,4,50
scene_gata_syousai,chr_illust_p,2,4,50
scene_battle_result_1,chr_illust,-22,16,100
scene_battle_result_2,chr_illust,8,20,78
scene_battle_result_3,chr_illust,4,18,78
scene_battle_result_4,chr_illust,8,18,78
scene_load,chr_illust,-4,4,50
scene_kakusei,chr_illust,4,8,80
scene_login,chr_illust,-6,18,80
scene_pvp_player,chr_illust,-16,14,100
scene_pvp_rival,chr_illust,-4,12,100
scene_pvp_result,chr_illust,-10,12,100
scene_pvp_result,chr_illust_p,-10,12,100
