scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,4,50
scene_home_full_shot,chr_illust_p,4,4,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-14,38,90
scene_home_medium_shot,chr_illust_p,2,48,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,28,-48,94
scene_purge3,chr_illust_p,2,-58,96
scene_purge2,chr_illust_p,0,-66,98
scene_purge1,chr_illust_p,4,-62,100
scene_adv,chr_illust,2,-204,98
scene_adv,chr_illust_p,-20,-208,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,8,60
scene_gift,chr_illust,-6,22,80
scene_syousai,chr_illust,-6,22,80
scene_skill,chr_illust,-8,34,98
scene_skill,chr_illust_p,8,32,100
scene_chr_episode,chr_illust,-6,36,80
scene_gata_syousai,chr_illust,-2,14,50
scene_gata_syousai,chr_illust_p,4,16,50
scene_battle_result_1,chr_illust,-8,34,98
scene_battle_result_2,chr_illust,-14,22,80
scene_battle_result_3,chr_illust,-14,28,78
scene_battle_result_4,chr_illust,-12,24,78
scene_load,chr_illust,-8,20,48
scene_kakusei,chr_illust,-6,22,80
scene_login,chr_illust,-6,32,78
scene_pvp_player,chr_illust,-18,34,98
scene_pvp_rival,chr_illust,-18,34,98
scene_pvp_result,chr_illust,-10,40,96
scene_pvp_result,chr_illust_p,20,36,100
