scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-16,30,50
scene_home_full_shot,chr_illust_p,-16,30,50
scene_home_bust_shot,chr_illust,-74,118,120
scene_home_bust_shot,chr_illust_p,-74,118,120
scene_home_medium_shot,chr_illust,-52,70,90
scene_home_medium_shot,chr_illust_p,-52,70,90
scene_battle,chr_illust,-40,66,50
scene_battle,chr_illust_p,-40,68,50
scene_purge4,chr_illust_p,-50,2,90
scene_purge3,chr_illust_p,-84,-34,90
scene_purge2,chr_illust_p,-82,-32,90
scene_purge1,chr_illust_p,-74,4,90
scene_adv,chr_illust,-68,-180,100
scene_adv,chr_illust_p,-68,-180,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-54,-22,100
scene_syousai,chr_illust,-54,-22,100
scene_skill,chr_illust,-54,44,100
scene_skill,chr_illust_p,-54,44,100
scene_chr_episode,chr_illust,-58,-4,80
scene_gata_syousai,chr_illust,0,20,50
scene_gata_syousai,chr_illust_p,0,20,50
scene_battle_result_1,chr_illust,-62,58,100
scene_battle_result_2,chr_illust,-54,-6,96
scene_battle_result_3,chr_illust,-58,0,94
scene_battle_result_4,chr_illust,-56,0,94
scene_load,chr_illust,-30,34,50
scene_kakusei,chr_illust,-54,-22,100
scene_login,chr_illust,-52,20,90
scene_pvp_player,chr_illust,-68,52,100
scene_pvp_rival,chr_illust,-64,56,100
scene_pvp_result,chr_illust,-60,66,100
scene_pvp_result,chr_illust_p,-60,66,100
