scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,0,50
scene_home_full_shot,chr_illust_p,14,0,50
scene_home_bust_shot,chr_illust,-14,78,120
scene_home_bust_shot,chr_illust_p,-14,78,120
scene_home_medium_shot,chr_illust,8,44,90
scene_home_medium_shot,chr_illust_p,8,44,90
scene_battle,chr_illust,-10,56,50
scene_battle,chr_illust_p,-10,58,50
scene_purge4,chr_illust_p,-10,-36,90
scene_purge3,chr_illust_p,-38,-56,90
scene_purge2,chr_illust_p,-34,-68,90
scene_purge1,chr_illust_p,-12,-56,90
scene_adv,chr_illust,-24,-222,100
scene_adv,chr_illust_p,-24,-222,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-4,18,80
scene_syousai,chr_illust,-4,18,80
scene_skill,chr_illust,-8,20,100
scene_skill,chr_illust_p,-8,20,100
scene_chr_episode,chr_illust,-8,32,80
scene_gata_syousai,chr_illust,-2,10,50
scene_gata_syousai,chr_illust_p,-2,10,50
scene_battle_result_1,chr_illust,-12,20,100
scene_battle_result_2,chr_illust,-10,14,82
scene_battle_result_3,chr_illust,-14,14,82
scene_battle_result_4,chr_illust,-12,12,82
scene_load,chr_illust,0,10,50
scene_kakusei,chr_illust,-4,18,80
scene_login,chr_illust,-6,20,80
scene_pvp_player,chr_illust,-18,18,100
scene_pvp_rival,chr_illust,-16,20,100
scene_pvp_result,chr_illust,-8,22,100
scene_pvp_result,chr_illust_p,-8,22,100
