scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-14,12,50
scene_home_full_shot,chr_illust_p,-14,12,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-72,10,100
scene_home_medium_shot,chr_illust_p,-72,10,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,46,50
scene_purge4,chr_illust_p,-76,-60,100
scene_purge3,chr_illust_p,-114,-69,100
scene_purge2,chr_illust_p,-120,-70,100
scene_purge1,chr_illust_p,-50,-24,90
scene_adv,chr_illust,-78,-202,100
scene_adv,chr_illust_p,-78,-202,100
scene_kakudai,chr_illust,-48,0,60
scene_kakudai,chr_illust_p,-48,0,60
scene_gift,chr_illust,-60,14,88
scene_syousai,chr_illust,-60,14,88
scene_skill,chr_illust,-72,40,100
scene_skill,chr_illust_p,-72,40,100
scene_chr_episode,chr_illust,-72,16,80
scene_gata_syousai,chr_illust,-36,16,50
scene_gata_syousai,chr_illust_p,-36,16,50
scene_battle_result_1,chr_illust,-80,44,100
scene_battle_result_2,chr_illust,-82,-2,92
scene_battle_result_3,chr_illust,-68,-2,92
scene_battle_result_4,chr_illust,-66,-6,92
scene_load,chr_illust,-42,24,50
scene_kakusei,chr_illust,-60,14,88
scene_login,chr_illust,-86,10,90
scene_pvp_player,chr_illust,-104,42,100
scene_pvp_rival,chr_illust,-94,36,100
scene_pvp_result,chr_illust,-78,40,100
scene_pvp_result,chr_illust_p,-78,40,100
