scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,10,48
scene_home_full_shot,chr_illust_p,-34,8,46
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,16,38,120
scene_home_medium_shot,chr_illust,-8,48,92
scene_home_medium_shot,chr_illust_p,-60,64,88
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-40,22,76
scene_purge3,chr_illust_p,-54,10,78
scene_purge2,chr_illust_p,-60,-22,88
scene_purge1,chr_illust_p,-38,-30,90
scene_adv,chr_illust,-18,-180,94
scene_adv,chr_illust_p,-16,-158,88
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-12,46,76
scene_syousai,chr_illust,-12,46,76
scene_skill,chr_illust,-10,56,96
scene_skill,chr_illust_p,-20,66,94
scene_chr_episode,chr_illust,-6,52,80
scene_gata_syousai,chr_illust,0,32,46
scene_gata_syousai,chr_illust_p,-30,40,44
scene_battle_result_1,chr_illust,-12,60,94
scene_battle_result_2,chr_illust,-12,34,80
scene_battle_result_3,chr_illust,-20,32,80
scene_battle_result_4,chr_illust,-12,36,78
scene_load,chr_illust,-6,30,48
scene_kakusei,chr_illust,-12,46,76
scene_login,chr_illust,-10,44,78
scene_pvp_player,chr_illust,-16,54,96
scene_pvp_rival,chr_illust,-12,54,96
scene_pvp_result,chr_illust,-12,56,96
scene_pvp_result,chr_illust_p,-18,74,92
