scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,2,52
scene_home_full_shot,chr_illust_p,-6,6,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-20,0,100
scene_home_medium_shot,chr_illust_p,-26,0,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,16,-80,100
scene_purge3,chr_illust_p,0,-74,100
scene_purge2,chr_illust_p,0,-84,100
scene_purge1,chr_illust_p,-8,-86,100
scene_adv,chr_illust,-4,-226,100
scene_adv,chr_illust_p,-4,-224,100
scene_kakudai,chr_illust,0,0,62
scene_kakudai,chr_illust_p,0,2,62
scene_gift,chr_illust,2,-2,84
scene_syousai,chr_illust,2,-2,84
scene_skill,chr_illust,-4,18,100
scene_skill,chr_illust_p,-4,20,100
scene_chr_episode,chr_illust,4,-2,90
scene_gata_syousai,chr_illust,-6,2,52
scene_gata_syousai,chr_illust_p,-6,2,52
scene_battle_result_1,chr_illust,0,24,100
scene_battle_result_2,chr_illust,0,-2,86
scene_battle_result_3,chr_illust,-6,-4,86
scene_battle_result_4,chr_illust,-4,-2,86
scene_load,chr_illust,0,-2,54
scene_kakusei,chr_illust,2,-2,84
scene_login,chr_illust,0,-2,86
scene_pvp_player,chr_illust,-4,18,100
scene_pvp_rival,chr_illust,-4,18,100
scene_pvp_result,chr_illust,0,18,100
scene_pvp_result,chr_illust_p,0,20,100
