scene,layer,x,y,scale
scene_home_full_shot,chr_illust,74,2,54
scene_home_full_shot,chr_illust_p,6,-2,56
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,112,28,100
scene_home_medium_shot,chr_illust_p,6,30,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,50,-54,100
scene_purge3,chr_illust_p,20,-52,100
scene_purge2,chr_illust_p,30,-52,100
scene_purge1,chr_illust_p,56,-56,100
scene_adv,chr_illust,132,-202,100
scene_adv,chr_illust_p,12,-198,100
scene_kakudai,chr_illust,46,0,62
scene_kakudai,chr_illust_p,16,-14,64
scene_gift,chr_illust,126,16,86
scene_syousai,chr_illust,126,16,86
scene_skill,chr_illust,142,48,98
scene_skill,chr_illust_p,22,44,100
scene_chr_episode,chr_illust,130,20,90
scene_gata_syousai,chr_illust,34,8,54
scene_gata_syousai,chr_illust_p,6,0,56
scene_battle_result_1,chr_illust,142,44,100
scene_battle_result_2,chr_illust,124,16,86
scene_battle_result_3,chr_illust,126,18,86
scene_battle_result_4,chr_illust,128,14,86
scene_load,chr_illust,68,8,54
scene_kakusei,chr_illust,126,16,86
scene_login,chr_illust,106,12,88
scene_pvp_player,chr_illust,138,42,100
scene_pvp_rival,chr_illust,134,42,100
scene_pvp_result,chr_illust,142,48,98
scene_pvp_result,chr_illust_p,18,46,100
