scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,20,46
scene_home_full_shot,chr_illust_p,10,28,42
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-4,90,80
scene_home_medium_shot,chr_illust_p,18,92,76
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,26,52,68
scene_purge3,chr_illust_p,12,30,74
scene_purge2,chr_illust_p,20,26,76
scene_purge1,chr_illust_p,30,24,80
scene_adv,chr_illust,4,-132,80
scene_adv,chr_illust_p,54,-110,76
scene_kakudai,chr_illust,0,0,54
scene_kakudai,chr_illust_p,4,2,50
scene_gift,chr_illust,12,52,66
scene_syousai,chr_illust,12,52,66
scene_skill,chr_illust,4,102,84
scene_skill,chr_illust_p,58,126,80
scene_chr_episode,chr_illust,16,88,70
scene_gata_syousai,chr_illust,8,12,44
scene_gata_syousai,chr_illust_p,16,18,40
scene_battle_result_1,chr_illust,10,102,84
scene_battle_result_2,chr_illust,4,78,68
scene_battle_result_3,chr_illust,4,78,68
scene_battle_result_4,chr_illust,4,84,66
scene_load,chr_illust,4,20,42
scene_kakusei,chr_illust,12,52,66
scene_login,chr_illust,6,86,66
scene_pvp_player,chr_illust,-4,102,84
scene_pvp_rival,chr_illust,2,102,84
scene_pvp_result,chr_illust,14,102,84
scene_pvp_result,chr_illust_p,60,130,78
