scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-16,26,52
scene_home_full_shot,chr_illust_p,-4,12,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-28,64,98
scene_home_medium_shot,chr_illust_p,-20,56,88
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,-12,88
scene_purge3,chr_illust_p,-22,-18,88
scene_purge2,chr_illust_p,-10,-18,88
scene_purge1,chr_illust_p,-16,-34,90
scene_adv,chr_illust,-24,-166,100
scene_adv,chr_illust_p,-6,-170,90
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,56
scene_gift,chr_illust,-12,48,86
scene_syousai,chr_illust,-12,48,86
scene_skill,chr_illust,-20,78,100
scene_skill,chr_illust_p,-8,66,90
scene_chr_episode,chr_illust,-12,54,88
scene_gata_syousai,chr_illust,-10,32,52
scene_gata_syousai,chr_illust_p,6,32,46
scene_battle_result_1,chr_illust,-20,82,100
scene_battle_result_2,chr_illust,-18,50,86
scene_battle_result_3,chr_illust,-12,46,86
scene_battle_result_4,chr_illust,-12,42,86
scene_load,chr_illust,-8,30,54
scene_kakusei,chr_illust,-12,48,86
scene_login,chr_illust,-20,50,86
scene_pvp_player,chr_illust,-22,84,100
scene_pvp_rival,chr_illust,-22,84,100
scene_pvp_result,chr_illust,-20,80,100
scene_pvp_result,chr_illust_p,4,78,90
