scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,10,52
scene_home_full_shot,chr_illust_p,0,10,52
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,0,46,100
scene_home_medium_shot,chr_illust_p,0,46,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-16,-22,100
scene_purge3,chr_illust_p,-34,-20,100
scene_purge2,chr_illust_p,-28,-22,100
scene_purge1,chr_illust_p,-24,-46,100
scene_adv,chr_illust,-34,-184,100
scene_adv,chr_illust_p,-34,-184,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,0,38,80
scene_syousai,chr_illust,0,38,80
scene_skill,chr_illust,-26,62,100
scene_skill,chr_illust_p,-26,62,100
scene_chr_episode,chr_illust,-8,74,80
scene_gata_syousai,chr_illust,10,10,50
scene_gata_syousai,chr_illust_p,10,10,50
scene_battle_result_1,chr_illust,-22,64,100
scene_battle_result_2,chr_illust,-16,36,86
scene_battle_result_3,chr_illust,-16,42,84
scene_battle_result_4,chr_illust,-16,40,84
scene_load,chr_illust,-12,32,50
scene_kakusei,chr_illust,0,38,80
scene_login,chr_illust,-24,60,80
scene_pvp_player,chr_illust,-26,66,100
scene_pvp_rival,chr_illust,-24,68,100
scene_pvp_result,chr_illust,-24,74,100
scene_pvp_result,chr_illust_p,-24,74,100
