scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,34,0,50
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,-30,54,86
scene_home_medium_shot,chr_illust_p,20,30,84
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,34,-2,80
scene_purge3,chr_illust_p,0,-22,80
scene_purge2,chr_illust_p,0,-26,80
scene_purge1,chr_illust_p,16,-22,80
scene_adv,chr_illust,-14,-156,80
scene_adv,chr_illust_p,26,-160,80
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-4,42,70
scene_syousai,chr_illust,-4,42,70
scene_skill,chr_illust,-16,84,86
scene_skill,chr_illust_p,28,58,88
scene_chr_episode,chr_illust,-16,74,68
scene_gata_syousai,chr_illust,-8,0,50
scene_gata_syousai,chr_illust_p,8,0,50
scene_battle_result_1,chr_illust,-48,64,90
scene_battle_result_2,chr_illust,-10,96,64
scene_battle_result_3,chr_illust,-8,96,64
scene_battle_result_4,chr_illust,0,92,64
scene_load,chr_illust,-20,-16,44
scene_kakusei,chr_illust,-4,42,70
scene_login,chr_illust,-10,48,70
scene_pvp_player,chr_illust,-20,114,84
scene_pvp_rival,chr_illust,-6,108,84
scene_pvp_result,chr_illust,-44,30,84
scene_pvp_result,chr_illust_p,10,6,84
