scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,-6,0,50
scene_home_bust_shot,chr_illust,0,50,120
scene_home_bust_shot,chr_illust_p,10,338,110
scene_home_medium_shot,chr_illust,0,38,90
scene_home_medium_shot,chr_illust_p,16,234,80
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,170,40
scene_purge4,chr_illust_p,-6,110,80
scene_purge3,chr_illust_p,-18,74,80
scene_purge2,chr_illust_p,10,72,80
scene_purge1,chr_illust_p,12,110,80
scene_adv,chr_illust,2,-170,82
scene_adv,chr_illust_p,22,14,74
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,-2,50
scene_gift,chr_illust,6,56,70
scene_syousai,chr_illust,6,56,70
scene_skill,chr_illust,6,74,86
scene_skill,chr_illust_p,20,278,64
scene_chr_episode,chr_illust,20,38,80
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,18,42,40
scene_battle_result_1,chr_illust,6,66,90
scene_battle_result_2,chr_illust,2,44,74
scene_battle_result_3,chr_illust,10,48,72
scene_battle_result_4,chr_illust,14,44,72
scene_load,chr_illust,2,30,44
scene_kakusei,chr_illust,6,56,70
scene_login,chr_illust,8,60,70
scene_pvp_player,chr_illust,8,80,84
scene_pvp_rival,chr_illust,14,82,84
scene_pvp_result,chr_illust,12,62,90
scene_pvp_result,chr_illust_p,14,258,60
