scene,layer,x,y,scale
scene_home_full_shot,chr_illust,24,20,50
scene_home_full_shot,chr_illust_p,24,20,50
scene_home_bust_shot,chr_illust,-54,98,120
scene_home_bust_shot,chr_illust_p,-54,98,120
scene_home_medium_shot,chr_illust,-42,70,90
scene_home_medium_shot,chr_illust_p,-42,70,90
scene_battle,chr_illust,-30,56,50
scene_battle,chr_illust_p,-30,58,50
scene_purge4,chr_illust_p,-28,-2,90
scene_purge3,chr_illust_p,-54,-30,90
scene_purge2,chr_illust_p,-52,-34,90
scene_purge1,chr_illust_p,-42,-14,90
scene_adv,chr_illust,-58,-212,100
scene_adv,chr_illust_p,-58,-212,100
scene_kakudai,chr_illust,0,8,60
scene_kakudai,chr_illust_p,0,8,60
scene_gift,chr_illust,-38,34,80
scene_syousai,chr_illust,-38,34,80
scene_skill,chr_illust,-48,34,98
scene_skill,chr_illust_p,-48,34,98
scene_chr_episode,chr_illust,-36,48,80
scene_gata_syousai,chr_illust,0,20,50
scene_gata_syousai,chr_illust_p,0,20,50
scene_battle_result_1,chr_illust,-42,36,100
scene_battle_result_2,chr_illust,-44,32,80
scene_battle_result_3,chr_illust,-48,30,80
scene_battle_result_4,chr_illust,-44,30,80
scene_load,chr_illust,-24,20,50
scene_kakusei,chr_illust,-38,34,80
scene_login,chr_illust,-38,36,80
scene_pvp_player,chr_illust,-54,36,100
scene_pvp_rival,chr_illust,-54,36,100
scene_pvp_result,chr_illust,-44,38,100
scene_pvp_result,chr_illust_p,-44,38,100
