scene,layer,x,y,scale
scene_home_full_shot,chr_illust,24,8,50
scene_home_full_shot,chr_illust_p,24,8,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,96,76,100
scene_home_medium_shot,chr_illust_p,96,76,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,96,4,100
scene_purge3,chr_illust_p,64,-10,100
scene_purge2,chr_illust_p,62,-8,100
scene_purge1,chr_illust_p,98,-14,100
scene_adv,chr_illust,88,-154,100
scene_adv,chr_illust_p,88,-154,100
scene_kakudai,chr_illust,0,2,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,96,62,86
scene_syousai,chr_illust,96,62,86
scene_skill,chr_illust,82,92,100
scene_skill,chr_illust_p,82,92,100
scene_chr_episode,chr_illust,86,74,80
scene_gata_syousai,chr_illust,52,10,54
scene_gata_syousai,chr_illust_p,52,10,54
scene_battle_result_1,chr_illust,66,100,100
scene_battle_result_2,chr_illust,82,50,92
scene_battle_result_3,chr_illust,80,62,88
scene_battle_result_4,chr_illust,82,60,86
scene_load,chr_illust,46,40,54
scene_kakusei,chr_illust,96,62,86
scene_login,chr_illust,80,70,86
scene_pvp_player,chr_illust,94,98,100
scene_pvp_rival,chr_illust,82,96,100
scene_pvp_result,chr_illust,100,110,100
scene_pvp_result,chr_illust_p,100,110,100
