scene,layer,x,y,scale
scene_home_full_shot,chr_illust,26,12,50
scene_home_full_shot,chr_illust_p,-4,16,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,36,12,100
scene_home_medium_shot,chr_illust_p,-26,50,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-6,-40,100
scene_purge3,chr_illust_p,-24,-42,100
scene_purge2,chr_illust_p,-12,-46,100
scene_purge1,chr_illust_p,0,-42,100
scene_adv,chr_illust,52,-214,100
scene_adv,chr_illust_p,-10,-170,94
scene_kakudai,chr_illust,28,0,60
scene_kakudai,chr_illust_p,0,4,54
scene_gift,chr_illust,50,-12,92
scene_syousai,chr_illust,50,-12,92
scene_skill,chr_illust,56,36,100
scene_skill,chr_illust_p,-22,80,94
scene_chr_episode,chr_illust,62,-6,94
scene_gata_syousai,chr_illust,18,12,52
scene_gata_syousai,chr_illust_p,-12,28,48
scene_battle_result_1,chr_illust,52,24,100
scene_battle_result_2,chr_illust,50,-18,92
scene_battle_result_3,chr_illust,48,-16,92
scene_battle_result_4,chr_illust,52,-16,92
scene_load,chr_illust,30,-4,56
scene_kakusei,chr_illust,50,-12,92
scene_login,chr_illust,44,-12,92
scene_pvp_player,chr_illust,48,34,100
scene_pvp_rival,chr_illust,56,34,100
scene_pvp_result,chr_illust,48,34,100
scene_pvp_result,chr_illust_p,-16,80,94
