scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-10,6,50
scene_home_full_shot,chr_illust_p,-4,6,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-20,12,94
scene_home_medium_shot,chr_illust_p,-20,-2,94
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-28,-64,92
scene_purge3,chr_illust_p,-44,-64,92
scene_purge2,chr_illust_p,-32,-64,92
scene_purge1,chr_illust_p,-24,-64,92
scene_adv,chr_illust,-16,-228,98
scene_adv,chr_illust_p,-26,-250,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-12,8,80
scene_syousai,chr_illust,-12,8,80
scene_skill,chr_illust,-12,16,98
scene_skill,chr_illust_p,-14,-10,100
scene_chr_episode,chr_illust,-12,16,82
scene_gata_syousai,chr_illust,-10,10,48
scene_gata_syousai,chr_illust_p,-2,2,48
scene_battle_result_1,chr_illust,-18,12,100
scene_battle_result_2,chr_illust,-10,16,78
scene_battle_result_3,chr_illust,-4,18,78
scene_battle_result_4,chr_illust,-8,20,78
scene_load,chr_illust,-12,6,50
scene_kakusei,chr_illust,-12,8,80
scene_login,chr_illust,-12,14,80
scene_pvp_player,chr_illust,-22,18,98
scene_pvp_rival,chr_illust,-22,16,98
scene_pvp_result,chr_illust,-12,24,96
scene_pvp_result,chr_illust_p,-10,0,98
