scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,10,50
scene_home_full_shot,chr_illust_p,14,10,50
scene_home_bust_shot,chr_illust,-14,88,120
scene_home_bust_shot,chr_illust_p,-14,88,120
scene_home_medium_shot,chr_illust,-12,70,90
scene_home_medium_shot,chr_illust_p,-12,70,90
scene_battle,chr_illust,-20,66,50
scene_battle,chr_illust_p,-20,68,50
scene_purge4,chr_illust_p,-10,0,90
scene_purge3,chr_illust_p,-14,-34,90
scene_purge2,chr_illust_p,-22,-34,90
scene_purge1,chr_illust_p,0,-12,90
scene_adv,chr_illust,-32,-192,100
scene_adv,chr_illust_p,-32,-192,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-14,46,80
scene_syousai,chr_illust,-14,46,80
scene_skill,chr_illust,-24,50,98
scene_skill,chr_illust_p,-24,50,98
scene_chr_episode,chr_illust,-14,60,80
scene_gata_syousai,chr_illust,10,10,50
scene_gata_syousai,chr_illust_p,10,10,50
scene_battle_result_1,chr_illust,-36,60,98
scene_battle_result_2,chr_illust,-20,40,80
scene_battle_result_3,chr_illust,-22,42,80
scene_battle_result_4,chr_illust,-16,40,80
scene_load,chr_illust,-12,28,50
scene_kakusei,chr_illust,-14,46,80
scene_login,chr_illust,-24,46,80
scene_pvp_player,chr_illust,-34,64,94
scene_pvp_rival,chr_illust,-14,62,94
scene_pvp_result,chr_illust,-28,52,100
scene_pvp_result,chr_illust_p,-28,52,100
