scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-48,-2,50
scene_home_full_shot,chr_illust_p,-48,-2,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-112,2,100
scene_home_medium_shot,chr_illust_p,-112,2,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-112,-62,94
scene_purge3,chr_illust_p,-122,-66,94
scene_purge2,chr_illust_p,-128,-68,94
scene_purge1,chr_illust_p,-92,-86,100
scene_adv,chr_illust,-110,-226,100
scene_adv,chr_illust_p,-110,-226,100
scene_kakudai,chr_illust,-58,2,60
scene_kakudai,chr_illust_p,-58,2,60
scene_gift,chr_illust,-98,-20,90
scene_syousai,chr_illust,-98,-20,90
scene_skill,chr_illust,-110,18,100
scene_skill,chr_illust_p,-110,18,100
scene_chr_episode,chr_illust,-92,-4,80
scene_gata_syousai,chr_illust,-52,6,50
scene_gata_syousai,chr_illust_p,-52,6,50
scene_battle_result_1,chr_illust,-124,14,100
scene_battle_result_2,chr_illust,-96,-6,86
scene_battle_result_3,chr_illust,-98,-8,86
scene_battle_result_4,chr_illust,-90,-6,86
scene_load,chr_illust,-58,6,50
scene_kakusei,chr_illust,-98,-20,90
scene_login,chr_illust,-96,-18,90
scene_pvp_player,chr_illust,-120,14,100
scene_pvp_rival,chr_illust,-108,14,100
scene_pvp_result,chr_illust,-108,16,100
scene_pvp_result,chr_illust_p,-108,16,100
