scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,6,48
scene_home_full_shot,chr_illust_p,-34,0,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-66,44,86
scene_home_medium_shot,chr_illust_p,-114,26,88
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-68,-74,88
scene_purge3,chr_illust_p,-84,-70,86
scene_purge2,chr_illust_p,-72,-68,88
scene_purge1,chr_illust_p,-74,-86,92
scene_adv,chr_illust,-40,-208,92
scene_adv,chr_illust_p,-92,-226,94
scene_kakudai,chr_illust,0,12,60
scene_kakudai,chr_illust_p,-34,0,62
scene_gift,chr_illust,-20,26,74
scene_syousai,chr_illust,-20,26,74
scene_skill,chr_illust,-34,30,94
scene_skill,chr_illust_p,-92,12,96
scene_chr_episode,chr_illust,-22,32,76
scene_gata_syousai,chr_illust,-16,8,48
scene_gata_syousai,chr_illust_p,-46,4,48
scene_battle_result_1,chr_illust,-32,34,92
scene_battle_result_2,chr_illust,-22,28,74
scene_battle_result_3,chr_illust,-28,26,74
scene_battle_result_4,chr_illust,-30,28,74
scene_load,chr_illust,-16,18,46
scene_kakusei,chr_illust,-20,26,74
scene_login,chr_illust,-22,28,74
scene_pvp_player,chr_illust,-34,26,92
scene_pvp_rival,chr_illust,-30,24,92
scene_pvp_result,chr_illust,-30,30,94
scene_pvp_result,chr_illust_p,-82,12,96
