scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,8,-2,50
scene_home_bust_shot,chr_illust,-28,44,120
scene_home_bust_shot,chr_illust_p,-4,58,120
scene_home_medium_shot,chr_illust,-4,24,90
scene_home_medium_shot,chr_illust_p,14,26,92
scene_battle,chr_illust,-4,22,55
scene_battle,chr_illust_p,16,28,55
scene_purge4,chr_illust_p,16,-30,90
scene_purge3,chr_illust_p,4,-58,94
scene_purge2,chr_illust_p,-2,-54,94
scene_purge1,chr_illust_p,40,-58,94
scene_adv,chr_illust,-12,-242,100
scene_adv,chr_illust_p,30,-230,100
scene_kakudai,chr_illust,2,-2,60
scene_kakudai,chr_illust_p,8,0,60
scene_gift,chr_illust,-2,4,80
scene_syousai,chr_illust,-2,4,80
scene_skill,chr_illust,-10,14,98
scene_skill,chr_illust_p,4,34,98
scene_chr_episode,chr_illust,2,14,82
scene_gata_syousai,chr_illust,18,2,50
scene_gata_syousai,chr_illust_p,22,10,50
scene_battle_result_1,chr_illust,-8,30,94
scene_battle_result_2,chr_illust,-4,26,76
scene_battle_result_3,chr_illust,-4,26,76
scene_battle_result_4,chr_illust,0,22,76
scene_load,chr_illust,-2,8,50
scene_kakusei,chr_illust,-2,4,80
scene_login,chr_illust,-10,16,78
scene_pvp_player,chr_illust,-6,20,96
scene_pvp_rival,chr_illust,-18,22,96
scene_pvp_result,chr_illust,-6,26,94
scene_pvp_result,chr_illust_p,44,42,92
