scene,layer,x,y,scale
scene_home_full_shot,chr_illust,10,-4,50
scene_home_full_shot,chr_illust_p,10,-2,50
scene_home_bust_shot,chr_illust,-8,14,128
scene_home_bust_shot,chr_illust_p,-4,24,130
scene_home_medium_shot,chr_illust,12,2,96
scene_home_medium_shot,chr_illust_p,14,14,96
scene_battle,chr_illust,4,10,58
scene_battle,chr_illust_p,6,22,58
scene_purge4,chr_illust_p,-6,-72,100
scene_purge3,chr_illust_p,-8,-76,100
scene_purge2,chr_illust_p,-2,-78,100
scene_purge1,chr_illust_p,0,-78,100
scene_adv,chr_illust,-6,-242,100
scene_adv,chr_illust_p,0,-224,100
scene_kakudai,chr_illust,2,-2,60
scene_kakudai,chr_illust_p,8,0,60
scene_gift,chr_illust,8,4,80
scene_syousai,chr_illust,8,4,80
scene_skill,chr_illust,4,16,98
scene_skill,chr_illust_p,4,28,100
scene_chr_episode,chr_illust,10,6,84
scene_gata_syousai,chr_illust,2,2,50
scene_gata_syousai,chr_illust_p,0,10,50
scene_battle_result_1,chr_illust,0,8,100
scene_battle_result_2,chr_illust,-4,16,78
scene_battle_result_3,chr_illust,2,16,78
scene_battle_result_4,chr_illust,2,12,78
scene_load,chr_illust,0,6,50
scene_kakusei,chr_illust,8,4,80
scene_login,chr_illust,-2,16,78
scene_pvp_player,chr_illust,-2,8,100
scene_pvp_rival,chr_illust,-6,10,100
scene_pvp_result,chr_illust,0,22,96
scene_pvp_result,chr_illust_p,2,22,100
