scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-44,10,50
scene_home_full_shot,chr_illust_p,-62,10,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-88,-10,100
scene_home_medium_shot,chr_illust_p,-132,22,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-120,-56,100
scene_purge3,chr_illust_p,-150,-58,100
scene_purge2,chr_illust_p,-136,-54,100
scene_purge1,chr_illust_p,-134,-60,100
scene_adv,chr_illust,-94,-238,100
scene_adv,chr_illust_p,-126,-196,100
scene_kakudai,chr_illust,-4,0,62
scene_kakudai,chr_illust_p,-22,2,62
scene_gift,chr_illust,-72,-12,86
scene_syousai,chr_illust,-72,-12,86
scene_skill,chr_illust,-92,4,100
scene_skill,chr_illust_p,-124,44,100
scene_chr_episode,chr_illust,-74,-14,90
scene_gata_syousai,chr_illust,-50,8,50
scene_gata_syousai,chr_illust_p,-86,20,52
scene_battle_result_1,chr_illust,-88,8,100
scene_battle_result_2,chr_illust,-68,-10,86
scene_battle_result_3,chr_illust,-76,-6,86
scene_battle_result_4,chr_illust,-80,-10,86
scene_load,chr_illust,-44,-2,52
scene_kakusei,chr_illust,-72,-12,86
scene_login,chr_illust,-74,-12,86
scene_pvp_player,chr_illust,-88,2,100
scene_pvp_rival,chr_illust,-90,6,100
scene_pvp_result,chr_illust,-84,12,98
scene_pvp_result,chr_illust_p,-120,44,100
