scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-20,10,50
scene_home_full_shot,chr_illust_p,-22,10,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-24,4,100
scene_home_medium_shot,chr_illust_p,-24,2,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-16,-74,100
scene_purge3,chr_illust_p,-38,-78,100
scene_purge2,chr_illust_p,-30,-72,100
scene_purge1,chr_illust_p,-26,-74,100
scene_adv,chr_illust,-18,-222,100
scene_adv,chr_illust_p,-20,-220,100
scene_kakudai,chr_illust,0,2,62
scene_kakudai,chr_illust_p,0,2,62
scene_gift,chr_illust,-2,-18,92
scene_syousai,chr_illust,-2,-18,92
scene_skill,chr_illust,-6,24,100
scene_skill,chr_illust_p,-12,26,100
scene_chr_episode,chr_illust,0,-28,100
scene_gata_syousai,chr_illust,-4,10,54
scene_gata_syousai,chr_illust_p,-8,8,54
scene_battle_result_1,chr_illust,-6,24,100
scene_battle_result_2,chr_illust,-4,-12,90
scene_battle_result_3,chr_illust,-4,-12,90
scene_battle_result_4,chr_illust,0,-10,90
scene_load,chr_illust,-2,-6,56
scene_kakusei,chr_illust,-2,-18,92
scene_login,chr_illust,-4,-11,90
scene_pvp_player,chr_illust,-4,20,100
scene_pvp_rival,chr_illust,-10,22,100
scene_pvp_result,chr_illust,-4,24,100
scene_pvp_result,chr_illust_p,-8,26,100
