scene,layer,x,y,scale
scene_home_full_shot,chr_illust,10,18,52
scene_home_full_shot,chr_illust_p,-10,22,52
scene_home_bust_shot,chr_illust,-6,86,130
scene_home_bust_shot,chr_illust_p,-58,162,136
scene_home_medium_shot,chr_illust,12,22,100
scene_home_medium_shot,chr_illust_p,-24,66,100
scene_battle,chr_illust,18,6,56
scene_battle,chr_illust_p,-20,44,52
scene_purge4,chr_illust_p,-24,32,90
scene_purge3,chr_illust_p,-32,22,94
scene_purge2,chr_illust_p,-38,0,94
scene_purge1,chr_illust_p,-6,-10,94
scene_adv,chr_illust,14,-182,100
scene_adv,chr_illust_p,-20,-120,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,-12,2,60
scene_gift,chr_illust,10,44,80
scene_syousai,chr_illust,10,44,80
scene_skill,chr_illust,6,78,94
scene_skill,chr_illust_p,-22,142,92
scene_chr_episode,chr_illust,12,66,80
scene_gata_syousai,chr_illust,30,6,48
scene_gata_syousai,chr_illust_p,18,8,50
scene_battle_result_1,chr_illust,-2,94,94
scene_battle_result_2,chr_illust,0,56,82
scene_battle_result_3,chr_illust,0,56,82
scene_battle_result_4,chr_illust,2,56,82
scene_load,chr_illust,8,24,50
scene_kakusei,chr_illust,10,44,80
scene_login,chr_illust,12,50,84
scene_pvp_player,chr_illust,4,80,100
scene_pvp_rival,chr_illust,8,80,100
scene_pvp_result,chr_illust,14,68,100
scene_pvp_result,chr_illust_p,-28,128,100
