scene,layer,x,y,scale
scene_home_full_shot,chr_illust,32,36,42
scene_home_full_shot,chr_illust_p,16,26,40
scene_home_bust_shot,chr_illust,112,282,86
scene_home_bust_shot,chr_illust_p,20,308,70
scene_home_medium_shot,chr_illust,76,212,62
scene_home_medium_shot,chr_illust_p,26,226,48
scene_battle,chr_illust,26,108,40
scene_battle,chr_illust_p,18,142,32
scene_purge4,chr_illust_p,40,122,54
scene_purge3,chr_illust_p,8,112,54
scene_purge2,chr_illust_p,0,108,54
scene_purge1,chr_illust_p,46,84,56
scene_adv,chr_illust,76,-18,62
scene_adv,chr_illust_p,22,-8,56
scene_kakudai,chr_illust,10,16,54
scene_kakudai,chr_illust_p,16,18,46
scene_gift,chr_illust,46,176,50
scene_syousai,chr_illust,46,176,50
scene_skill,chr_illust,66,224,62
scene_skill,chr_illust_p,32,254,50
scene_chr_episode,chr_illust,80,188,54
scene_gata_syousai,chr_illust,26,36,40
scene_gata_syousai,chr_illust_p,22,28,34
scene_battle_result_1,chr_illust,64,226,64
scene_battle_result_2,chr_illust,54,184,50
scene_battle_result_3,chr_illust,76,184,50
scene_battle_result_4,chr_illust,80,184,50
scene_load,chr_illust,28,94,34
scene_kakusei,chr_illust,46,176,50
scene_login,chr_illust,68,176,54
scene_pvp_player,chr_illust,74,226,64
scene_pvp_rival,chr_illust,94,222,64
scene_pvp_result,chr_illust,88,226,62
scene_pvp_result,chr_illust_p,52,244,52
