scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-86,6,50
scene_home_full_shot,chr_illust_p,-12,4,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-206,64,94
scene_home_medium_shot,chr_illust_p,-14,56,94
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-10,-30,96
scene_purge3,chr_illust_p,-44,-14,92
scene_purge2,chr_illust_p,-34,-42,100
scene_purge1,chr_illust_p,-16,-40,100
scene_adv,chr_illust,-204,-168,100
scene_adv,chr_illust_p,0,-178,100
scene_kakudai,chr_illust,-14,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-158,62,78
scene_syousai,chr_illust,-158,62,78
scene_skill,chr_illust,-198,78,98
scene_skill,chr_illust_p,0,62,100
scene_chr_episode,chr_illust,-168,62,84
scene_gata_syousai,chr_illust,-80,28,48
scene_gata_syousai,chr_illust_p,-2,26,48
scene_battle_result_1,chr_illust,-198,76,100
scene_battle_result_2,chr_illust,-168,58,80
scene_battle_result_3,chr_illust,-186,52,82
scene_battle_result_4,chr_illust,-172,50,82
scene_load,chr_illust,-86,34,50
scene_kakusei,chr_illust,-158,62,78
scene_login,chr_illust,-166,56,82
scene_pvp_player,chr_illust,-222,78,100
scene_pvp_rival,chr_illust,-206,74,100
scene_pvp_result,chr_illust,-198,80,98
scene_pvp_result,chr_illust_p,8,64,100
