scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-10,14,50
scene_home_full_shot,chr_illust_p,-6,0,52
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,-38,100,100
scene_home_medium_shot,chr_illust_p,-8,92,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,60,46,100
scene_purge3,chr_illust_p,36,28,100
scene_purge2,chr_illust_p,30,10,100
scene_purge1,chr_illust_p,48,46,100
scene_adv,chr_illust,-44,-138,100
scene_adv,chr_illust_p,0,-136,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-22,52,94
scene_syousai,chr_illust,-22,52,94
scene_skill,chr_illust,-34,116,100
scene_skill,chr_illust_p,10,110,100
scene_chr_episode,chr_illust,-20,60,98
scene_gata_syousai,chr_illust,-18,48,54
scene_gata_syousai,chr_illust_p,12,38,56
scene_battle_result_1,chr_illust,-42,114,100
scene_battle_result_2,chr_illust,-32,46,98
scene_battle_result_3,chr_illust,-26,46,98
scene_battle_result_4,chr_illust,-26,42,98
scene_load,chr_illust,-20,34,56
scene_kakusei,chr_illust,-22,52,94
scene_login,chr_illust,-26,54,96
scene_pvp_player,chr_illust,-40,114,100
scene_pvp_rival,chr_illust,-20,116,100
scene_pvp_result,chr_illust,-34,120,100
scene_pvp_result,chr_illust_p,10,114,100
