scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,10,50
scene_home_full_shot,chr_illust_p,14,10,50
scene_home_bust_shot,chr_illust,4,48,120
scene_home_bust_shot,chr_illust_p,4,48,120
scene_home_medium_shot,chr_illust,28,40,90
scene_home_medium_shot,chr_illust_p,28,40,90
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,12,-42,90
scene_purge3,chr_illust_p,6,-78,90
scene_purge2,chr_illust_p,10,-78,90
scene_purge1,chr_illust_p,18,-44,90
scene_adv,chr_illust,-10,-244,100
scene_adv,chr_illust_p,-10,-244,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,0,4,80
scene_syousai,chr_illust,0,4,80
scene_skill,chr_illust,-4,-24,100
scene_skill,chr_illust_p,-4,-24,100
scene_chr_episode,chr_illust,4,22,80
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,0,0,50
scene_battle_result_1,chr_illust,0,-6,100
scene_battle_result_2,chr_illust,-2,-54,92
scene_battle_result_3,chr_illust,0,-54,92
scene_battle_result_4,chr_illust,4,-54,92
scene_load,chr_illust,2,2,50
scene_kakusei,chr_illust,0,4,80
scene_login,chr_illust,-2,4,80
scene_pvp_player,chr_illust,0,-8,100
scene_pvp_rival,chr_illust,-4,-8,100
scene_pvp_result,chr_illust,0,2,100
scene_pvp_result,chr_illust_p,0,2,100
