scene,layer,x,y,scale
scene_home_full_shot,chr_illust_p,42,-2,46
scene_home_full_shot,chr_illust,42,-4,50
scene_home_bust_shot,chr_illust,22,50,120
scene_home_bust_shot,chr_illust_p,30,8,120
scene_home_medium_shot,chr_illust,36,16,100
scene_home_medium_shot,chr_illust_p,56,-6,92
scene_battle,chr_illust,26,-10,60
scene_battle,chr_illust_p,16,-14,62
scene_purge4,chr_illust_p,18,-8,80
scene_purge3,chr_illust_p,16,-58,90
scene_purge2,chr_illust_p,14,-50,90
scene_purge1,chr_illust_p,10,-64,90
scene_adv,chr_illust,0,-192,100
scene_adv,chr_illust_p,20,-224,94
scene_kakudai,chr_illust,6,2,60
scene_kakudai,chr_illust_p,22,4,54
scene_gift,chr_illust,26,22,80
scene_syousai,chr_illust,26,22,80
scene_skill,chr_illust,28,38,100
scene_skill,chr_illust_p,30,6,94
scene_chr_episode,chr_illust,32,6,92
scene_gata_syousai,chr_illust,6,20,50
scene_gata_syousai,chr_illust_p,18,10,46
scene_battle_result_1,chr_illust,4,44,100
scene_battle_result_2,chr_illust,14,-10,94
scene_battle_result_3,chr_illust,8,-8,94
scene_battle_result_4,chr_illust,8,-10,94
scene_load,chr_illust,10,18,50
scene_kakusei,chr_illust,26,22,80
scene_login,chr_illust,6,48,80
scene_pvp_player,chr_illust,12,48,100
scene_pvp_rival,chr_illust,36,50,100
scene_pvp_result,chr_illust,34,30,100
scene_pvp_result,chr_illust_p,40,6,92
