scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,-12,58
scene_home_full_shot,chr_illust_p,0,-12,58
scene_home_bust_shot,chr_illust,-14,48,100
scene_home_bust_shot,chr_illust_p,-14,48,100
scene_home_medium_shot,chr_illust,22,60,100
scene_home_medium_shot,chr_illust_p,22,60,100
scene_battle,chr_illust,-10,48,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,14,-48,100
scene_purge3,chr_illust_p,-14,-56,100
scene_purge2,chr_illust_p,-12,-52,100
scene_purge1,chr_illust_p,-6,-50,100
scene_adv,chr_illust,0,-230,100
scene_adv,chr_illust_p,0,-230,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,20,-22,100
scene_syousai,chr_illust,20,-22,100
scene_skill,chr_illust,28,50,100
scene_skill,chr_illust_p,28,50,100
scene_chr_episode,chr_illust,22,-4,100
scene_gata_syousai,chr_illust,-6,12,50
scene_gata_syousai,chr_illust_p,-6,12,50
scene_battle_result_1,chr_illust,22,56,100
scene_battle_result_2,chr_illust,24,-16,100
scene_battle_result_3,chr_illust,16,-20,100
scene_battle_result_4,chr_illust,26,-10,100
scene_load,chr_illust,8,-8,62
scene_kakusei,chr_illust,20,-22,100
scene_login,chr_illust,6,-12,100
scene_pvp_player,chr_illust,2,60,100
scene_pvp_rival,chr_illust,32,60,100
scene_pvp_result,chr_illust,12,64,100
scene_pvp_result,chr_illust_p,12,64,100
