scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-18,8,48
scene_home_full_shot,chr_illust_p,-18,8,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,16,38,100
scene_home_medium_shot,chr_illust,-30,82,80
scene_home_medium_shot,chr_illust_p,-36,86,80
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,62,50
scene_purge4,chr_illust_p,-16,14,80
scene_purge3,chr_illust_p,-58,12,80
scene_purge2,chr_illust_p,-56,0,84
scene_purge1,chr_illust_p,-30,2,86
scene_adv,chr_illust,-18,-128,80
scene_adv,chr_illust_p,-22,-132,82
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-26,86,64
scene_syousai,chr_illust,-26,86,64
scene_skill,chr_illust,-34,106,82
scene_skill,chr_illust_p,-36,104,82
scene_chr_episode,chr_illust,-14,88,66
scene_gata_syousai,chr_illust,-18,10,46
scene_gata_syousai,chr_illust_p,-20,10,44
scene_battle_result_1,chr_illust,-38,112,82
scene_battle_result_2,chr_illust,-8,92,64
scene_battle_result_3,chr_illust,-14,90,64
scene_battle_result_4,chr_illust,-22,90,64
scene_load,chr_illust,-14,38,40
scene_kakusei,chr_illust,-26,86,64
scene_login,chr_illust,-26,88,66
scene_pvp_player,chr_illust,-34,122,78
scene_pvp_rival,chr_illust,-30,118,78
scene_pvp_result,chr_illust,-36,120,78
scene_pvp_result,chr_illust_p,-36,120,78
