scene,layer,x,y,scale
scene_home_full_shot,chr_illust,48,-2,52
scene_home_full_shot,chr_illust_p,8,-6,52
scene_home_bust_shot,chr_illust,46,-20,140
scene_home_bust_shot,chr_illust_p,-60,28,130
scene_home_medium_shot,chr_illust,56,-12,100
scene_home_medium_shot,chr_illust_p,-22,-6,100
scene_battle,chr_illust,24,-36,70
scene_battle,chr_illust_p,-26,12,60
scene_purge4,chr_illust_p,-58,2,90
scene_purge3,chr_illust_p,-62,-30,90
scene_purge2,chr_illust_p,-58,-52,94
scene_purge1,chr_illust_p,-44,-48,94
scene_adv,chr_illust,42,-240,100
scene_adv,chr_illust_p,-36,-184,88
scene_kakudai,chr_illust,26,0,60
scene_kakudai,chr_illust_p,-20,2,60
scene_gift,chr_illust,40,-40,90
scene_syousai,chr_illust,40,-40,90
scene_skill,chr_illust,30,-2,100
scene_skill,chr_illust_p,-44,56,90
scene_chr_episode,chr_illust,52,-58,100
scene_gata_syousai,chr_illust,64,2,48
scene_gata_syousai,chr_illust_p,22,20,46
scene_battle_result_1,chr_illust,32,6,100
scene_battle_result_2,chr_illust,44,-44,92
scene_battle_result_3,chr_illust,38,-44,92
scene_battle_result_4,chr_illust,44,-42,92
scene_load,chr_illust,16,0,52
scene_kakusei,chr_illust,40,-40,90
scene_login,chr_illust,38,-48,94
scene_pvp_player,chr_illust,46,4,100
scene_pvp_rival,chr_illust,38,0,100
scene_pvp_result,chr_illust,54,12,100
scene_pvp_result,chr_illust_p,-30,68,88
