scene,layer,x,y,scale
scene_home_full_shot,chr_illust,6,30,50
scene_home_full_shot,chr_illust_p,6,30,50
scene_home_bust_shot,chr_illust,24,330,120
scene_home_bust_shot,chr_illust_p,24,330,120
scene_home_medium_shot,chr_illust,24,224,90
scene_home_medium_shot,chr_illust_p,24,224,90
scene_battle,chr_illust,12,184,40
scene_battle,chr_illust_p,12,184,40
scene_purge4,chr_illust_p,70,154,80
scene_purge3,chr_illust_p,48,116,80
scene_purge2,chr_illust_p,56,116,80
scene_purge1,chr_illust_p,74,132,80
scene_adv,chr_illust,50,44,80
scene_adv,chr_illust_p,50,44,80
scene_kakudai,chr_illust,-10,46,60
scene_kakudai,chr_illust_p,-10,46,60
scene_gift,chr_illust,56,230,70
scene_syousai,chr_illust,56,230,70
scene_skill,chr_illust,70,282,80
scene_skill,chr_illust_p,70,282,80
scene_chr_episode,chr_illust,58,248,70
scene_gata_syousai,chr_illust,42,64,50
scene_gata_syousai,chr_illust_p,42,64,50
scene_battle_result_1,chr_illust,50,242,80
scene_battle_result_2,chr_illust,52,150,66
scene_battle_result_3,chr_illust,86,146,64
scene_battle_result_4,chr_illust,86,146,64
scene_load,chr_illust,32,104,40
scene_kakusei,chr_illust,56,230,70
scene_login,chr_illust,60,234,70
scene_pvp_player,chr_illust,52,288,82
scene_pvp_rival,chr_illust,68,290,82
scene_pvp_result,chr_illust,62,296,80
scene_pvp_result,chr_illust_p,76,292,80
