scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,16,50
scene_home_full_shot,chr_illust_p,20,-2,50
scene_home_bust_shot,chr_illust,-22,56,120
scene_home_bust_shot,chr_illust_p,82,154,110
scene_home_medium_shot,chr_illust,-8,16,94
scene_home_medium_shot,chr_illust_p,78,122,80
scene_battle,chr_illust,14,26,60
scene_battle,chr_illust_p,36,76,50
scene_purge4,chr_illust_p,-10,72,70
scene_purge3,chr_illust_p,-12,12,80
scene_purge2,chr_illust_p,-2,6,80
scene_purge1,chr_illust_p,14,8,80
scene_adv,chr_illust,10,-206,100
scene_adv,chr_illust_p,40,-90,74
scene_kakudai,chr_illust,12,-6,60
scene_kakudai,chr_illust_p,12,-4,60
scene_gift,chr_illust,-4,24,80
scene_syousai,chr_illust,-4,24,80
scene_skill,chr_illust,-2,46,96
scene_skill,chr_illust_p,40,136,76
scene_chr_episode,chr_illust,30,20,84
scene_gata_syousai,chr_illust,16,10,50
scene_gata_syousai,chr_illust_p,32,6,50
scene_battle_result_1,chr_illust,-4,46,100
scene_battle_result_2,chr_illust,12,18,84
scene_battle_result_3,chr_illust,0,34,82
scene_battle_result_4,chr_illust,4,35,82
scene_load,chr_illust,10,16,50
scene_kakusei,chr_illust,-4,24,80
scene_login,chr_illust,0,24,80
scene_pvp_player,chr_illust,22,28,100
scene_pvp_rival,chr_illust,34,28,100
scene_pvp_result,chr_illust,36,36,100
scene_pvp_result,chr_illust_p,72,134,78
