scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,8,48
scene_home_full_shot,chr_illust_p,-6,10,48
scene_home_bust_shot,chr_illust,-10,32,120
scene_home_bust_shot,chr_illust_p,36,62,120
scene_home_medium_shot,chr_illust,-18,52,92
scene_home_medium_shot,chr_illust_p,-14,94,94
scene_battle,chr_illust,-6,-8,60
scene_battle,chr_illust_p,18,50,50
scene_purge4,chr_illust_p,20,22,90
scene_purge3,chr_illust_p,0,12,92
scene_purge2,chr_illust_p,10,0,96
scene_purge1,chr_illust_p,6,2,96
scene_adv,chr_illust,-2,-176,92
scene_adv,chr_illust_p,0,-132,92
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,14,42,78
scene_syousai,chr_illust,14,42,78
scene_skill,chr_illust,20,52,98
scene_skill,chr_illust_p,2,98,100
scene_chr_episode,chr_illust,18,44,82
scene_gata_syousai,chr_illust,4,18,48
scene_gata_syousai,chr_illust_p,-2,30,48
scene_battle_result_1,chr_illust,14,50,98
scene_battle_result_2,chr_illust,8,50,76
scene_battle_result_3,chr_illust,8,50,76
scene_battle_result_4,chr_illust,10,48,76
scene_load,chr_illust,6,28,48
scene_kakusei,chr_illust,14,42,78
scene_login,chr_illust,6,44,78
scene_pvp_player,chr_illust,2,58,96
scene_pvp_rival,chr_illust,10,58,96
scene_pvp_result,chr_illust,10,58,96
scene_pvp_result,chr_illust_p,-6,112,92
