scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,0,50
scene_home_full_shot,chr_illust_p,14,0,50
scene_home_bust_shot,chr_illust,-24,72,120
scene_home_bust_shot,chr_illust_p,-24,72,120
scene_home_medium_shot,chr_illust,-12,4,100
scene_home_medium_shot,chr_illust_p,-12,4,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-48,-62,100
scene_purge3,chr_illust_p,-72,-84,100
scene_purge2,chr_illust_p,-52,-82,100
scene_purge1,chr_illust_p,-34,-60,94
scene_adv,chr_illust,-30,-226,100
scene_adv,chr_illust_p,-30,-226,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-8,-2,84
scene_syousai,chr_illust,-8,-2,84
scene_skill,chr_illust,-34,24,100
scene_skill,chr_illust_p,-34,24,100
scene_chr_episode,chr_illust,-16,10,84
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,0,0,50
scene_battle_result_1,chr_illust,-28,18,100
scene_battle_result_2,chr_illust,-18,10,82
scene_battle_result_3,chr_illust,-24,12,82
scene_battle_result_4,chr_illust,-28,2,84
scene_load,chr_illust,-14,10,50
scene_kakusei,chr_illust,-8,-2,84
scene_login,chr_illust,-34,18,80
scene_pvp_player,chr_illust,-32,22,100
scene_pvp_rival,chr_illust,-36,24,100
scene_pvp_result,chr_illust,-34,24,100
scene_pvp_result,chr_illust_p,-34,24,100
