scene,layer,x,y,scale
scene_home_full_shot,chr_illust,6,10,50
scene_home_full_shot,chr_illust_p,6,10,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-10,64,90
scene_home_medium_shot,chr_illust_p,-10,64,90
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-44,14,72
scene_purge3,chr_illust_p,-74,-28,84
scene_purge2,chr_illust_p,-54,-28,90
scene_purge1,chr_illust_p,-30,-8,90
scene_adv,chr_illust,-34,-194,100
scene_adv,chr_illust_p,-34,-194,100
scene_kakudai,chr_illust,-30,16,60
scene_kakudai,chr_illust_p,-30,16,60
scene_gift,chr_illust,-18,58,74
scene_syousai,chr_illust,-18,58,74
scene_skill,chr_illust,-28,46,100
scene_skill,chr_illust_p,-28,46,100
scene_chr_episode,chr_illust,-42,54,80
scene_gata_syousai,chr_illust,-28,20,48
scene_gata_syousai,chr_illust_p,-28,20,48
scene_battle_result_1,chr_illust,-40,72,94
scene_battle_result_2,chr_illust,-26,52,76
scene_battle_result_3,chr_illust,-20,52,76
scene_battle_result_4,chr_illust,-4,54,76
scene_load,chr_illust,-40,28,48
scene_kakusei,chr_illust,-18,58,74
scene_login,chr_illust,-60,46,80
scene_pvp_player,chr_illust,-38,70,94
scene_pvp_rival,chr_illust,-80,70,94
scene_pvp_result,chr_illust,-40,68,94
scene_pvp_result,chr_illust_p,-40,68,94
