scene,layer,x,y,scale
scene_home_full_shot,chr_illust,2,8,48
scene_home_full_shot,chr_illust_p,4,6,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-8,42,84
scene_home_medium_shot,chr_illust_p,-6,42,84
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,16,-60,92
scene_purge3,chr_illust_p,-2,-62,92
scene_purge2,chr_illust_p,-12,-64,92
scene_purge1,chr_illust_p,-12,-72,94
scene_adv,chr_illust,2,-190,88
scene_adv,chr_illust_p,6,-196,90
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,8,34,72
scene_syousai,chr_illust,8,34,72
scene_skill,chr_illust,0,44,90
scene_skill,chr_illust_p,2,44,90
scene_chr_episode,chr_illust,10,42,74
scene_gata_syousai,chr_illust,4,6,44
scene_gata_syousai,chr_illust_p,2,6,44
scene_battle_result_1,chr_illust,6,38,92
scene_battle_result_2,chr_illust,0,34,72
scene_battle_result_3,chr_illust,0,34,72
scene_battle_result_4,chr_illust,2,34,72
scene_load,chr_illust,2,24,44
scene_kakusei,chr_illust,8,34,72
scene_login,chr_illust,4,34,72
scene_pvp_player,chr_illust,2,64,84
scene_pvp_rival,chr_illust,-4,64,84
scene_pvp_result,chr_illust,6,52,88
scene_pvp_result,chr_illust_p,6,50,88
