scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,2,52
scene_home_full_shot,chr_illust_p,-24,22,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-6,28,100
scene_home_medium_shot,chr_illust_p,-62,70,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-22,-8,100
scene_purge3,chr_illust_p,-42,-6,100
scene_purge2,chr_illust_p,-54,-6,100
scene_purge1,chr_illust_p,-2,-6,100
scene_adv,chr_illust,-12,-198,100
scene_adv,chr_illust_p,-64,-154,100
scene_kakudai,chr_illust,0,-2,62
scene_kakudai,chr_illust_p,0,2,62
scene_gift,chr_illust,0,0,92
scene_syousai,chr_illust,0,0,92
scene_skill,chr_illust,-10,46,100
scene_skill,chr_illust_p,-62,90,100
scene_chr_episode,chr_illust,-2,2,96
scene_gata_syousai,chr_illust,-4,14,52
scene_gata_syousai,chr_illust_p,-8,26,52
scene_battle_result_1,chr_illust,-4,46,100
scene_battle_result_2,chr_illust,-4,4,92
scene_battle_result_3,chr_illust,-4,4,92
scene_battle_result_4,chr_illust,-2,0,92
scene_load,chr_illust,-2,-2,58
scene_kakusei,chr_illust,0,0,92
scene_login,chr_illust,-2,0,92
scene_pvp_player,chr_illust,-4,44,100
scene_pvp_rival,chr_illust,-2,40,100
scene_pvp_result,chr_illust,-2,46,100
scene_pvp_result,chr_illust_p,-54,90,100
