scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-67,7,46
scene_home_full_shot,chr_illust_p,-67,-4,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,15,38,100
scene_home_medium_shot,chr_illust,-152,42,84
scene_home_medium_shot,chr_illust_p,-185,-5,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,61,50
scene_purge4,chr_illust_p,-117,-102,100
scene_purge3,chr_illust_p,-150,-103,100
scene_purge2,chr_illust_p,-139,-103,100
scene_purge1,chr_illust_p,-87,-123,100
scene_adv,chr_illust,-137,-200,90
scene_adv,chr_illust_p,-177,-244,100
scene_kakudai,chr_illust,-44,-6,58
scene_kakudai,chr_illust_p,-73,-4,62
scene_gift,chr_illust,-103,28,74
scene_syousai,chr_illust,-103,28,74
scene_skill,chr_illust,-129,54,86
scene_skill,chr_illust_p,-165,21,94
scene_chr_episode,chr_illust,-108,36,76
scene_gata_syousai,chr_illust,-71,19,46
scene_gata_syousai,chr_illust_p,-85,1,50
scene_battle_result_1,chr_illust,-127,45,90
scene_battle_result_2,chr_illust,-109,28,74
scene_battle_result_3,chr_illust,-110,27,74
scene_battle_result_4,chr_illust,-107,27,74
scene_load,chr_illust,-65,18,46
scene_kakusei,chr_illust,-103,28,74
scene_login,chr_illust,-107,29,74
scene_pvp_player,chr_illust,-147,40,90
scene_pvp_rival,chr_illust,-137,47,90
scene_pvp_result,chr_illust,-129,44,90
scene_pvp_result,chr_illust_p,-170,0,100
