scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-12,-2,52
scene_home_full_shot,chr_illust_p,30,0,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,24,-16,98
scene_home_medium_shot,chr_illust_p,106,-4,98
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,66,-46,86
scene_purge3,chr_illust_p,50,-86,94
scene_purge2,chr_illust_p,64,-92,96
scene_purge1,chr_illust_p,94,-92,100
scene_adv,chr_illust,20,-240,100
scene_adv,chr_illust_p,108,-234,100
scene_kakudai,chr_illust,6,-8,62
scene_kakudai,chr_illust_p,64,-8,62
scene_gift,chr_illust,24,-4,82
scene_syousai,chr_illust,24,-4,82
scene_skill,chr_illust,24,6,98
scene_skill,chr_illust_p,110,4,100
scene_chr_episode,chr_illust,28,-14,88
scene_gata_syousai,chr_illust,12,0,50
scene_gata_syousai,chr_illust_p,40,2,50
scene_battle_result_1,chr_illust,30,2,100
scene_battle_result_2,chr_illust,20,-6,82
scene_battle_result_3,chr_illust,14,-6,82
scene_battle_result_4,chr_illust,18,-4,82
scene_load,chr_illust,14,-6,52
scene_kakusei,chr_illust,24,-4,82
scene_login,chr_illust,22,-12,84
scene_pvp_player,chr_illust,20,4,100
scene_pvp_rival,chr_illust,26,0,100
scene_pvp_result,chr_illust,32,2,100
scene_pvp_result,chr_illust_p,104,12,100
