scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-10,8,48
scene_home_full_shot,chr_illust_p,-46,10,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-30,34,96
scene_home_medium_shot,chr_illust_p,-98,26,98
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-72,-72,100
scene_purge3,chr_illust_p,-94,-70,100
scene_purge2,chr_illust_p,-84,-68,100
scene_purge1,chr_illust_p,-84,-58,100
scene_adv,chr_illust,-34,-202,100
scene_adv,chr_illust_p,-82,-202,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-20,20,84
scene_syousai,chr_illust,-20,20,84
scene_skill,chr_illust,-22,44,98
scene_skill,chr_illust_p,-72,36,100
scene_chr_episode,chr_illust,-18,22,88
scene_gata_syousai,chr_illust,-10,14,52
scene_gata_syousai,chr_illust_p,-32,14,52
scene_battle_result_1,chr_illust,-24,40,100
scene_battle_result_2,chr_illust,-18,20,84
scene_battle_result_3,chr_illust,-28,20,84
scene_battle_result_4,chr_illust,-20,16,84
scene_load,chr_illust,-12,14,52
scene_kakusei,chr_illust,-20,20,84
scene_login,chr_illust,-16,20,84
scene_pvp_player,chr_illust,-22,38,100
scene_pvp_rival,chr_illust,-22,38,100
scene_pvp_result,chr_illust,-24,50,98
scene_pvp_result,chr_illust_p,-72,44,100
