scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,-16,60
scene_home_full_shot,chr_illust_p,14,-16,60
scene_home_bust_shot,chr_illust,-22,110,130
scene_home_bust_shot,chr_illust_p,-24,112,130
scene_home_medium_shot,chr_illust,-12,60,100
scene_home_medium_shot,chr_illust_p,-12,60,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,10,-12,100
scene_purge3,chr_illust_p,-26,-48,100
scene_purge2,chr_illust_p,-18,-46,100
scene_purge1,chr_illust_p,14,-40,100
scene_adv,chr_illust,0,-162,100
scene_adv,chr_illust_p,0,-162,100
scene_kakudai,chr_illust,0,-10,72
scene_kakudai,chr_illust_p,0,-10,72
scene_gift,chr_illust,34,-2,94
scene_syousai,chr_illust,34,-2,94
scene_skill,chr_illust,2,66,100
scene_skill,chr_illust_p,2,66,100
scene_chr_episode,chr_illust,20,20,94
scene_gata_syousai,chr_illust,6,2,58
scene_gata_syousai,chr_illust_p,6,2,58
scene_battle_result_1,chr_illust,0,50,100
scene_battle_result_2,chr_illust,-8,14,94
scene_battle_result_3,chr_illust,-2,30,90
scene_battle_result_4,chr_illust,12,26,90
scene_load,chr_illust,2,4,60
scene_kakusei,chr_illust,34,-2,94
scene_login,chr_illust,0,22,90
scene_pvp_player,chr_illust,-2,70,100
scene_pvp_rival,chr_illust,2,68,100
scene_pvp_result,chr_illust,2,74,100
scene_pvp_result,chr_illust_p,0,76,100
