scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-82,8,50
scene_home_full_shot,chr_illust_p,32,2,50
scene_home_bust_shot,chr_illust,-320,112,120
scene_home_bust_shot,chr_illust_p,-32,108,120
scene_home_medium_shot,chr_illust,-248,62,94
scene_home_medium_shot,chr_illust_p,0,72,90
scene_battle,chr_illust,-174,26,60
scene_battle,chr_illust_p,-4,30,60
scene_purge4,chr_illust_p,-8,16,90
scene_purge3,chr_illust_p,-28,-18,90
scene_purge2,chr_illust_p,-28,-18,90
scene_purge1,chr_illust_p,-10,-28,90
scene_adv,chr_illust,-298,-184,100
scene_adv,chr_illust_p,-4,-194,100
scene_kakudai,chr_illust,-68,-2,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-254,14,90
scene_syousai,chr_illust,-254,14,90
scene_skill,chr_illust,-260,52,100
scene_skill,chr_illust_p,6,44,100
scene_chr_episode,chr_illust,-236,56,84
scene_gata_syousai,chr_illust,-108,28,50
scene_gata_syousai,chr_illust_p,-6,16,50
scene_battle_result_1,chr_illust,-284,64,100
scene_battle_result_2,chr_illust,-226,44,80
scene_battle_result_3,chr_illust,-220,44,80
scene_battle_result_4,chr_illust,-216,38,80
scene_load,chr_illust,-142,32,50
scene_kakusei,chr_illust,-254,14,90
scene_login,chr_illust,-234,56,80
scene_pvp_player,chr_illust,-284,56,100
scene_pvp_rival,chr_illust,-284,62,100
scene_pvp_result,chr_illust,-284,62,100
scene_pvp_result,chr_illust_p,0,50,100
