scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,20,50
scene_home_full_shot,chr_illust_p,14,20,50
scene_home_bust_shot,chr_illust,-14,98,120
scene_home_bust_shot,chr_illust_p,-14,98,120
scene_home_medium_shot,chr_illust,-12,70,90
scene_home_medium_shot,chr_illust_p,-12,70,90
scene_battle,chr_illust,-10,66,50
scene_battle,chr_illust_p,-10,68,50
scene_purge4,chr_illust_p,-18,-4,90
scene_purge3,chr_illust_p,-24,-44,90
scene_purge2,chr_illust_p,-10,-42,90
scene_purge1,chr_illust_p,-4,0,90
scene_adv,chr_illust,-10,-188,100
scene_adv,chr_illust_p,-10,-188,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-2,50,80
scene_syousai,chr_illust,-2,50,80
scene_skill,chr_illust,-24,106,84
scene_skill,chr_illust_p,-24,106,84
scene_chr_episode,chr_illust,0,62,80
scene_gata_syousai,chr_illust,10,18,50
scene_gata_syousai,chr_illust_p,10,18,50
scene_battle_result_1,chr_illust,0,86,90
scene_battle_result_2,chr_illust,-4,72,72
scene_battle_result_3,chr_illust,-6,72,72
scene_battle_result_4,chr_illust,-2,74,72
scene_load,chr_illust,-2,42,46
scene_kakusei,chr_illust,-2,50,80
scene_login,chr_illust,-6,46,80
scene_pvp_player,chr_illust,-12,106,86
scene_pvp_rival,chr_illust,-10,106,86
scene_pvp_result,chr_illust,-4,108,84
scene_pvp_result,chr_illust_p,-2,108,84
