scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,2,48
scene_home_full_shot,chr_illust_p,-6,0,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-22,-10,98
scene_home_medium_shot,chr_illust_p,-10,98,88
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,16,44,80
scene_purge3,chr_illust_p,-8,42,80
scene_purge2,chr_illust_p,-12,42,80
scene_purge1,chr_illust_p,14,30,84
scene_adv,chr_illust,-18,-238,100
scene_adv,chr_illust_p,8,-132,92
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-4,-8,82
scene_syousai,chr_illust,-4,-8,82
scene_skill,chr_illust,-12,0,100
scene_skill,chr_illust_p,0,108,90
scene_chr_episode,chr_illust,-4,-4,86
scene_gata_syousai,chr_illust,-16,0,50
scene_gata_syousai,chr_illust_p,-12,22,50
scene_battle_result_1,chr_illust,-10,2,100
scene_battle_result_2,chr_illust,-8,0,82
scene_battle_result_3,chr_illust,-18,2,82
scene_battle_result_4,chr_illust,0,0,82
scene_load,chr_illust,-4,2,50
scene_kakusei,chr_illust,-4,-8,82
scene_login,chr_illust,-8,4,80
scene_pvp_player,chr_illust,-8,0,100
scene_pvp_rival,chr_illust,0,2,100
scene_pvp_result,chr_illust,-10,6,100
scene_pvp_result,chr_illust_p,0,130,86
